number,created_at,closed_at,merged_at,user,state,comments
5638,2023-04-24 13:19:16+00:00,2023-09-16 18:44:33+00:00,,coder-rance,closed,0
5637,2023-04-23 20:27:36+00:00,2023-09-16 18:44:32+00:00,,buondevid,closed,0
5636,2023-04-23 16:27:22+00:00,2023-09-16 18:44:31+00:00,,prodemmi,closed,0
5635,2023-04-22 15:43:38+00:00,2023-04-23 16:12:22+00:00,,prodemmi,closed,0
5632,2023-04-17 12:24:50+00:00,2023-04-17 12:25:57+00:00,,orkhan-huseyn,closed,0
5629,2023-04-12 20:14:13+00:00,2023-09-16 18:44:31+00:00,,gyanendrasinghpanwar,closed,0
5617,2023-03-16 23:17:12+00:00,2023-09-16 18:44:30+00:00,,102,closed,0
5612,2023-03-11 18:20:20+00:00,2023-09-16 18:44:30+00:00,,Abdel-Monaam-Aouini,closed,0
5609,2023-03-06 23:36:20+00:00,2023-08-10 15:38:39+00:00,,omarzawahry,closed,2
5608,2023-03-02 03:10:11+00:00,2023-06-11 09:01:20+00:00,,Fim98,closed,1
5582,2023-01-10 19:46:12+00:00,2023-09-16 18:44:30+00:00,,Cadienvan,closed,7
5578,2023-01-01 22:16:22+00:00,2023-09-16 18:44:29+00:00,,KHNQ,closed,0
5577,2022-12-28 07:58:21+00:00,2023-09-16 18:44:29+00:00,,Sunny-117,closed,0
5576,2022-12-27 12:39:12+00:00,2023-07-20 10:51:52+00:00,,tamtamirr,closed,1
5575,2022-12-25 02:29:52+00:00,2023-01-05 00:56:12+00:00,,TuranDev,closed,3
5572,2022-12-15 15:47:53+00:00,2023-09-16 18:44:28+00:00,,amyrsaalehi,closed,0
5568,2022-12-09 13:17:51+00:00,2023-09-16 18:44:28+00:00,,Gauravms2143,closed,0
5564,2022-12-06 02:25:23+00:00,2023-09-16 18:44:27+00:00,,wkddngus5,closed,0
5551,2022-11-18 08:26:09+00:00,2023-09-16 18:44:27+00:00,,Congb19,closed,0
5544,2022-10-28 15:27:41+00:00,2023-09-16 18:44:26+00:00,,chichiger,closed,0
5540,2022-10-25 03:18:58+00:00,2023-09-16 18:44:26+00:00,,rkuykendall,closed,0
5539,2022-10-21 17:53:02+00:00,2023-09-16 18:44:25+00:00,,ibiBgOR,closed,0
5534,2022-10-11 02:58:15+00:00,2023-09-16 18:44:25+00:00,,KyoungWan,closed,2
5533,2022-10-09 14:52:06+00:00,2023-09-16 18:44:24+00:00,,eragon11,closed,2
5519,2022-09-11 15:06:05+00:00,2023-09-16 18:44:24+00:00,,hazemKrimi,closed,0
5516,2022-09-01 14:49:35+00:00,2023-09-16 18:44:23+00:00,,sashashura,closed,0
5514,2022-08-29 19:22:06+00:00,2023-09-16 18:44:53+00:00,,thelaughingwolf,closed,2
5512,2022-08-27 13:04:29+00:00,2023-09-16 18:44:52+00:00,,andrey-abramow,closed,0
5511,2022-08-25 20:25:13+00:00,2023-07-25 12:26:48+00:00,,kadsin,closed,0
5507,2022-08-16 12:54:46+00:00,2023-09-16 18:44:52+00:00,,amirgoren602,closed,0
5506,2022-08-15 14:14:05+00:00,2023-09-16 18:44:51+00:00,,PetiDev,closed,1
